auc,f1,accuracy,model,split,seed,dataset
0.7298990971853426,0.35294117647058826,0.7728613569321534,XGBoost,random,456,promise_ant
0.7369091874668083,0.4107142857142857,0.8053097345132744,LightGBM,random,456,promise_ant
0.752947424322889,0.37037037037037035,0.799410029498525,SimpleMLP,random,456,promise_ant
0.7390334572490707,0.43548387096774194,0.7935103244837758,ResNet,random,456,promise_ant
0.7592140201805629,0.4444444444444444,0.8230088495575221,FTTransformer,random,456,promise_ant
0.7979690783860831,0.5468354430379747,0.7597315436241611,LogReg,temporal,456,promise_ant
0.7793661693405748,0.4302788844621514,0.8080536912751678,RandomForest,temporal,456,promise_ant
0.7590309424225399,0.42748091603053434,0.7986577181208053,XGBoost,temporal,456,promise_ant
0.751903989013047,0.4740740740740741,0.8093959731543624,LightGBM,temporal,456,promise_ant
0.7487670890817155,0.41044776119402987,0.7879194630872484,SimpleMLP,temporal,456,promise_ant
0.7090954491541295,0.3651452282157676,0.7946308724832215,ResNet,temporal,456,promise_ant
0.7960234721268493,0.539568345323741,0.8281879194630872,FTTransformer,temporal,456,promise_ant
0.7038723916532905,0.42066420664206644,0.718132854578097,LogReg,random,42,promise_camel
0.7627307383627608,0.34972677595628415,0.7863554757630161,RandomForest,random,42,promise_camel
0.7614767255216692,0.4270833333333333,0.8025134649910234,XGBoost,random,42,promise_camel
0.7495585874799358,0.3707865168539326,0.7989228007181328,LightGBM,random,42,promise_camel
0.7333868378812198,0.2127659574468085,0.800718132854578,SimpleMLP,random,42,promise_camel
0.7021468699839486,0.378698224852071,0.8114901256732495,ResNet,random,42,promise_camel
0.702808988764045,0.2302158273381295,0.8078994614003591,FTTransformer,random,42,promise_camel
0.6326090528218187,0.36182902584493043,0.6673575129533679,LogReg,temporal,42,promise_camel
0.7125845450313535,0.3509933774834437,0.7968911917098446,RandomForest,temporal,42,promise_camel
0.7264574605000136,0.3769968051118211,0.7979274611398963,XGBoost,temporal,42,promise_camel
0.7243763520359265,0.3684210526315789,0.8010362694300518,LightGBM,temporal,42,promise_camel
0.6885867630548481,0.26058631921824105,0.7647668393782383,SimpleMLP,temporal,42,promise_camel
0.6944467263616201,0.3560830860534125,0.7751295336787565,ResNet,temporal,42,promise_camel
0.6274747391768668,0.3425414364640884,0.7533678756476684,FTTransformer,temporal,42,promise_camel
0.7087479935794543,0.4575645756457565,0.7360861759425493,LogReg,random,123,promise_camel
0.7885433386837881,0.4444444444444444,0.8114901256732495,RandomForest,random,123,promise_camel
0.7894462279293739,0.4375,0.8061041292639138,XGBoost,random,123,promise_camel
0.7883727929373997,0.46994535519125685,0.8258527827648114,LightGBM,random,123,promise_camel
0.7586276083467094,0.39263803680981596,0.822262118491921,SimpleMLP,random,123,promise_camel
0.7475922953451044,0.40641711229946526,0.800718132854578,ResNet,random,123,promise_camel
0.7053571428571428,0.2318840579710145,0.8096947935368043,FTTransformer,random,123,promise_camel
0.6326090528218187,0.36182902584493043,0.6673575129533679,LogReg,temporal,123,promise_camel
0.7159560776582053,0.34415584415584416,0.7906735751295336,RandomForest,temporal,123,promise_camel
