auc,f1,accuracy,model,dataset,protocol,fold_id,seed
0.7437334829695855,0.5838562161012443,0.6331677135089528,LogReg,jit_apachejit_total,walkforward,1,42
0.7034854985841918,0.0,0.6727289772194619,XGBoost,jit_apachejit_total,walkforward,1,42
0.4706468638339645,0.0028591851322373,0.673057091965876,FTTransformer,jit_apachejit_total,walkforward,1,42
0.7623606695804852,0.5616522057924966,0.6637292584606731,LogReg,jit_apachejit_total,walkforward,2,42
0.8064871885543804,0.6138984573910439,0.7583200524983594,XGBoost,jit_apachejit_total,walkforward,2,42
0.7945390306768102,0.5934323690383112,0.7562576169494704,FTTransformer,jit_apachejit_total,walkforward,2,42
0.7507269185820534,0.3988209050350542,0.6463586090542693,LogReg,jit_apachejit_total,walkforward,3,42
0.8103706089349905,0.4638697909358776,0.8209297966069922,XGBoost,jit_apachejit_total,walkforward,3,42
0.8121840224312815,0.4744614550873865,0.8182116412034868,FTTransformer,jit_apachejit_total,walkforward,3,42
0.7351020674489486,0.6204515805318616,0.6639746972644971,LogReg,env_city_hour,walkforward,1,42
0.767609351487796,0.6433138129264493,0.7050827580692449,XGBoost,env_city_hour,walkforward,1,42
0.7687880325820569,0.653500531002369,0.698534964506872,FTTransformer,env_city_hour,walkforward,1,42
0.7578671504982349,0.5216416680402176,0.7421573069644714,LogReg,env_city_hour,walkforward,2,42
0.8001246484442595,0.5711601242137113,0.7607523299306129,XGBoost,env_city_hour,walkforward,2,42
0.7687524922908534,0.5373138660706511,0.7167657275869115,FTTransformer,env_city_hour,walkforward,2,42
0.7429954987674328,0.5167718474308172,0.7367336241437824,LogReg,env_city_hour,walkforward,3,42
0.7862724138984866,0.5665439946470392,0.7697918425003776,XGBoost,env_city_hour,walkforward,3,42
0.7793289387725844,0.5634613221041804,0.7586954397249442,FTTransformer,env_city_hour,walkforward,3,42
0.5145833333333334,0.3298969072164948,0.6348314606741573,LogReg,promise_ant,walkforward,1,42
0.5473731884057971,0.2580645161290322,0.7415730337078652,XGBoost,promise_ant,walkforward,1,42
0.5961050724637681,0.0,0.7752808988764045,FTTransformer,promise_ant,walkforward,1,42
0.7605363984674329,0.3308270676691729,0.6962457337883959,LogReg,promise_ant,walkforward,2,42
0.6352969348659004,0.2077922077922078,0.7918088737201365,XGBoost,promise_ant,walkforward,2,42
0.7163553639846744,0.2222222222222222,0.8805460750853242,FTTransformer,promise_ant,walkforward,2,42
0.7768171898606682,0.5841584158415841,0.7606837606837606,LogReg,promise_ant,walkforward,3,42
0.7348077891556153,0.3220338983050847,0.7720797720797721,XGBoost,promise_ant,walkforward,3,42
0.7978428739298304,0.1523809523809524,0.7464387464387464,FTTransformer,promise_ant,walkforward,3,42
0.798156355993924,0.5468354430379747,0.7597315436241611,LogReg,promise_ant,walkforward,4,42
0.7534126141873192,0.4649446494464944,0.8053691275167785,XGBoost,promise_ant,walkforward,4,42
0.7914247664232057,0.4330708661417323,0.8067114093959732,FTTransformer,promise_ant,walkforward,4,42
0.5417375283446711,0.2958579881656805,0.6085526315789473,LogReg,promise_camel,walkforward,1,42
0.5423516628873771,0.0446428571428571,0.6480263157894737,XGBoost,promise_camel,walkforward,1,42
0.5615197467876039,0.0,0.6447368421052632,FTTransformer,promise_camel,walkforward,1,42
0.6608357444386472,0.3628117913832199,0.6777522935779816,LogReg,promise_camel,walkforward,2,42
0.7437840914480861,0.4378698224852071,0.7821100917431193,XGBoost,promise_camel,walkforward,2,42
0.6818005027747475,0.2307692307692307,0.8394495412844036,FTTransformer,promise_camel,walkforward,2,42
0.6319929351844246,0.3611111111111111,0.666321243523316,LogReg,promise_camel,walkforward,3,42
0.7344601440346121,0.3746031746031746,0.7958549222797927,XGBoost,promise_camel,walkforward,3,42
0.6356827952572633,0.3054545454545455,0.8020725388601037,FTTransformer,promise_camel,walkforward,3,42
0.7288888888888889,0.2222222222222222,0.6514522821576764,LogReg,promise_ivy,walkforward,1,42
0.7041666666666667,0.1654135338345864,0.5394190871369294,XGBoost,promise_ivy,walkforward,1,42
0.7402777777777777,0.2015503875968992,0.5726141078838174,FTTransformer,promise_ivy,walkforward,1,42
0.6825320512820512,0.294478527607362,0.6732954545454546,LogReg,promise_ivy,walkforward,2,42
0.7250801282051283,0.3058823529411765,0.8323863636363636,XGBoost,promise_ivy,walkforward,2,42
0.7434294871794871,0.2933333333333333,0.8494318181818182,FTTransformer,promise_ivy,walkforward,2,42
0.7982395382395383,0.5803108808290155,0.7352941176470589,LogReg,promise_jedit,walkforward,1,42
0.8153823953823954,0.5930232558139535,0.7712418300653595,XGBoost,promise_jedit,walkforward,1,42
0.7794227994227994,0.542713567839196,0.7026143790849673,FTTransformer,promise_jedit,walkforward,1,42
0.822893464442875,0.5841584158415841,0.7307692307692307,LogReg,promise_jedit,walkforward,2,42
0.8396262291519532,0.609271523178808,0.8108974358974359,XGBoost,promise_jedit,walkforward,2,42
0.8136578475579943,0.5906040268456376,0.8044871794871795,FTTransformer,promise_jedit,walkforward,2,42
0.8631792058516197,0.4307692307692308,0.6975476839237057,LogReg,promise_jedit,walkforward,3,42
0.8573667711598746,0.484375,0.8201634877384196,XGBoost,promise_jedit,walkforward,3,42
0.8460684430512018,0.5116279069767442,0.885558583106267,FTTransformer,promise_jedit,walkforward,3,42
0.6565866565866566,0.0760869565217391,0.6544715447154471,LogReg,promise_jedit,walkforward,4,42
0.8418068418068417,0.1318681318681318,0.8394308943089431,XGBoost,promise_jedit,walkforward,4,42
0.6524286524286524,0.1265822784810126,0.8597560975609756,FTTransformer,promise_jedit,walkforward,4,42
0.6459681769147788,0.6129032258064516,0.611336032388664,LogReg,promise_lucene,walkforward,1,42
0.6311353829557713,0.6040816326530613,0.6072874493927125,XGBoost,promise_lucene,walkforward,1,42
